entry_date,entry_price,exit_date,exit_price,return_pct,bars_held
2015-02-27,99.3555,2015-02-28,99.3156,-0.0004015882361821932,1
2015-03-01,99.6679,2015-03-02,99.7775,0.001099651944106439,1
2015-03-03,99.6679,2015-03-04,99.4161,-0.0025263901416604506,1
2015-03-05,99.8663,2015-03-06,99.7808,-0.000856144665417613,1
2015-03-07,99.8268,2015-03-08,99.912,0.0008534782242843875,1
2015-03-09,100.0136,2015-03-10,99.8936,-0.0011998368221920463,1
2015-03-11,99.9691,2015-03-27,100.0624,0.0009332883861112862,16
2015-04-03,100.3111,2015-04-09,100.3601,0.0004884803376696834,6
2015-04-25,100.4082,2015-04-29,100.2894,-0.001183170298840075,4
2015-05-07,100.4353,2015-05-12,100.1462,-0.0028784700200029656,5
2015-06-11,99.8176,2015-06-12,99.6222,-0.0019575706087903155,1
2015-06-13,99.6989,2015-06-14,99.8758,0.001774342545404206,1
2015-06-15,100.0211,2015-06-16,100.0435,0.0002239527459704238,1
2015-06-17,99.8533,2015-06-18,99.7793,-0.0007410871748855241,1
2015-06-19,99.8573,2015-06-20,99.8792,0.00021931295959332076,1
2015-06-21,99.8874,2015-06-22,99.8659,-0.00021524236290060283,1
2015-06-23,99.9591,2015-06-24,99.6649,-0.0029432037703420733,1
2015-06-28,100.0082,2015-06-29,99.8386,-0.0016958609394029933,1
2015-07-01,99.8945,2015-07-02,99.8264,-0.0006817192137703598,1
2015-07-03,99.9024,2015-07-04,99.9976,0.0009529300597383994,1
2015-07-05,99.9948,2015-07-29,100.9295,0.009347486069275712,24
2015-08-29,99.8812,2015-08-30,99.7938,-0.0008750395469818706,1
2015-08-31,99.9044,2015-09-01,99.8177,-0.0008678296451406498,1
2015-09-02,99.7864,2015-09-03,100.1324,0.0034674063800277377,1
2015-09-04,100.3407,2015-09-05,100.2695,-0.0007095824525841232,1
2015-09-06,100.3433,2015-09-07,100.5295,0.0018556296235026082,1
2015-09-08,100.4536,2015-09-09,100.4516,-1.9909689647712447e-05,1
2015-09-10,100.4927,2015-09-18,100.435,-0.0005741710591913307,8
2015-09-23,100.6189,2015-09-25,100.4043,-0.00213280010017991,2
2015-10-09,100.6642,2015-10-28,103.3868,0.02704635808956901,19
