date,open,high,low,close,volume,entry_price,tp_level,sl_level,tp_hit,sl_hit,label
2015-01-01,100.0951,100.2618,99.8119,99.9797,1027140,99.9797,100.979497,99.67976089999999,1,1,0
2015-01-02,100.1599,100.5721,99.7513,99.9775,934564,99.9775,100.977275,99.67756750000001,1,1,0
2015-01-03,100.2798,100.5526,99.915,100.0079,203072,100.0079,101.007979,99.70787630000001,1,1,0
2015-01-04,99.8738,100.207,99.8487,99.9694,546974,99.9694,100.969094,99.66949179999999,1,1,0
2015-01-05,99.5468,100.3276,99.3006,99.5762,552264,99.5762,100.571962,99.2774714,1,1,0
2015-01-06,99.5914,99.8307,99.2262,99.4275,599509,99.4275,100.421775,99.1292175,1,0,1
2015-01-07,99.5086,100.9178,99.2527,99.4863,473444,99.4863,100.481163,99.1878411,1,0,1
2015-01-08,99.5655,100.1694,99.3703,99.546,255894,99.546,100.54146,99.24736200000001,1,0,1
2015-01-09,99.8495,100.6975,99.4232,99.617,498068,99.617,100.61317000000001,99.318149,1,1,0
2015-01-10,99.7647,100.0043,99.6024,99.7319,610088,99.7319,100.729219,99.4327043,1,1,0
2015-01-11,99.9733,100.0827,99.5991,99.7346,608415,99.7346,100.73194600000001,99.4353962,1,1,0
2015-01-12,99.7864,101.092,99.5993,99.6862,419779,99.6862,100.683062,99.3871414,1,1,0
2015-01-13,99.8978,100.1909,99.5306,99.6178,899466,99.6178,100.613978,99.3189466,1,1,0
2015-01-14,99.7699,101.2512,99.6727,99.7468,1372010,99.7468,100.74426799999999,99.44755959999999,1,1,0
2015-01-15,99.7464,100.5417,99.3804,99.6062,1037075,99.6062,100.602262,99.3073814,1,1,0
2015-01-16,99.6222,101.0736,99.401,99.5643,1090716,99.5643,100.559943,99.2656071,1,1,0
2015-01-17,99.4035,100.2729,99.3082,99.5572,1385232,99.5572,100.55277199999999,99.25852839999999,1,1,0
2015-01-18,99.5596,100.0439,99.5109,99.5711,968244,99.5711,100.566811,99.2723867,1,1,0
2015-01-19,99.7703,100.569,99.4768,99.5469,1343058,99.5469,100.542369,99.24825929999999,1,1,0
2015-01-20,99.6156,100.6889,99.5122,99.5963,319557,99.5963,100.592263,99.2975111,1,1,0
2015-01-21,99.7219,100.4852,99.6739,99.7204,1394667,99.7204,100.717604,99.4212388,1,1,0
2015-01-22,99.5529,100.9966,99.4884,99.7232,1363467,99.7232,100.720432,99.4240304,1,1,0
2015-01-23,99.5924,100.7947,99.3993,99.7754,1364179,99.7754,100.773154,99.47607380000001,1,1,0
2015-01-24,99.5898,100.8956,99.564,99.8052,859119,99.8052,100.803252,99.5057844,1,1,0
2015-01-25,99.8364,100.7003,99.5761,99.7955,1339845,99.7955,100.79345500000001,99.4961135,1,1,0
2015-01-26,99.7309,100.2395,99.6777,99.8331,1321030,99.8331,100.83143100000001,99.53360070000001,1,1,0
2015-01-27,99.8401,100.3177,99.7019,99.9063,832596,99.9063,100.90536300000001,99.6065811,1,1,0
2015-01-28,99.8401,100.5582,99.7654,100.125,1369979,100.125,101.12625,99.824625,1,1,0
2015-01-29,100.072,100.6193,99.8509,99.9935,676479,99.9935,100.993435,99.6935195,1,1,0
2015-01-30,100.1079,101.4175,99.8957,99.962,1243938,99.962,100.96162000000001,99.662114,1,1,0
