entry_date,entry_price,exit_date,exit_price,exit_reason,return_pct,bars_held,y_prob_at_entry,threshold
2015-03-05,99.8663,2015-03-07,99.56670109999999,sl,-0.0030000000000001137,2,0.6161797320622486,0.5
2015-05-01,99.947,2015-05-19,99.647159,sl,-0.0030000000000000027,18,0.6660357442152793,0.5
2015-08-03,101.1915,2015-08-06,100.88792550000001,sl,-0.0030000000000000027,3,0.8122382849466234,0.5
2015-10-12,101.794,2015-10-13,101.488618,sl,-0.0029999999999998916,1,0.9997439109373859,0.5
2015-10-15,102.0221,2015-10-18,101.7160337,sl,-0.0030000000000000027,3,0.6077554587766667,0.5
2015-10-19,103.399,2015-10-31,103.088803,sl,-0.0030000000000000027,12,0.8381468867484696,0.5
2016-02-24,105.801,2016-03-21,105.483597,sl,-0.0030000000000000027,26,0.5143204342787134,0.5
2016-04-03,105.0642,2016-04-04,104.7490074,sl,-0.0030000000000000027,1,0.9939622888539216,0.5
2016-04-05,105.7255,2016-04-06,105.4083235,sl,-0.0030000000000000027,1,0.7053667821529754,0.5
2016-04-21,104.9529,2016-04-23,104.6380413,sl,-0.0030000000000000027,2,0.7933275694456741,0.5
2016-04-24,102.5718,2016-06-03,104.0902,time,0.014803289013159526,40,1.0,0.5
2016-08-11,102.8149,2016-08-13,102.5064553,sl,-0.0030000000000000027,2,0.993885784221536,0.5
2016-08-16,101.7289,2016-08-24,101.42371329999999,sl,-0.0030000000000001137,8,0.9992999162604268,0.5
2016-08-27,105.9657,2016-09-26,113.38329900000001,tp,0.07000000000000006,30,1.0,0.5
2017-02-02,114.9051,2017-02-03,114.5603847,sl,-0.0030000000000000027,1,0.8843113821380951,0.5
2017-02-06,114.2301,2017-02-07,113.88740969999999,sl,-0.0030000000000000027,1,0.6864504913423658,0.5
2017-08-28,116.4638,2017-10-07,118.3544,time,0.016233370369161948,40,0.6751401237744524,0.5
2017-11-07,118.2006,2017-11-13,117.8459982,sl,-0.0030000000000000027,6,0.988740202925812,0.5
2018-01-04,117.9099,2018-01-05,117.55617029999999,sl,-0.0030000000000000027,1,0.9999998805645944,0.5
2018-01-06,116.4819,2018-01-08,116.13245429999999,sl,-0.0030000000000000027,2,0.9985555964558569,0.5
2018-01-10,115.6806,2018-01-11,115.3335582,sl,-0.0030000000000000027,1,0.989245200567239,0.5
2018-01-12,114.5304,2018-01-15,114.1868088,sl,-0.0030000000000000027,3,0.7132657947676375,0.5
2018-02-14,115.3616,2018-02-17,115.0155152,sl,-0.0030000000000000027,3,0.935284244522704,0.5
2018-02-27,114.5254,2018-03-02,114.1818238,sl,-0.0030000000000000027,3,0.7838318442997736,0.5
2018-04-17,114.4964,2018-04-18,114.1529108,sl,-0.0029999999999998916,1,0.9277872854921382,0.5
2018-04-22,114.3196,2018-04-23,113.97664119999999,sl,-0.0030000000000000027,1,0.7979520601861549,0.5
2018-04-26,112.4848,2018-06-05,114.8976,time,0.021450009245693513,40,0.9999993791218893,0.5
2018-06-21,114.3681,2018-06-22,114.02499569999999,sl,-0.0030000000000001137,1,0.9981342897386605,0.5
2018-06-23,113.3186,2018-06-24,112.9786442,sl,-0.0030000000000000027,1,0.6688044109182878,0.5
2018-07-02,113.5991,2018-07-05,113.2583027,sl,-0.0030000000000000027,3,0.6844548911328382,0.5
2018-07-16,112.016,2018-08-03,111.679952,sl,-0.0030000000000000027,18,0.8467046736531605,0.5
2018-09-05,114.4829,2018-10-15,118.4754,time,0.03487420392041085,40,0.785823254079555,0.5
2019-01-20,117.8162,2019-01-21,117.46275139999999,sl,-0.0030000000000001137,1,0.6138842544509467,0.5
2019-04-28,119.9361,2019-04-29,119.5762917,sl,-0.0030000000000000027,1,0.9762469273059218,0.5
2019-07-09,120.3155,2019-07-14,119.9545535,sl,-0.0030000000000000027,5,0.7691640444621036,0.5
2019-07-27,119.1544,2019-09-05,120.4093,time,0.010531713474282167,40,0.5404985252951124,0.5
2019-09-21,121.9806,2019-10-31,125.1127,time,0.02567703388899556,40,0.5190512049716978,0.5
2019-11-23,123.3989,2019-12-09,123.0287033,sl,-0.0030000000000000027,16,0.7158039762671056,0.5
2020-02-05,124.7591,2020-03-13,124.3848227,sl,-0.0030000000000000027,37,0.7660445594673426,0.5
2020-03-27,125.3798,2020-03-28,125.0036606,sl,-0.0030000000000000027,1,0.5633317929991436,0.5
2020-04-02,124.7159,2020-05-12,128.473,time,0.03012526871072585,40,0.5711044944617926,0.5
2020-05-23,129.5831,2020-05-25,129.1943507,sl,-0.0030000000000000027,2,0.8164758553340401,0.5
2020-06-15,130.31,2020-06-22,129.91907,sl,-0.0030000000000000027,7,0.9997467595636504,0.5
2020-08-20,131.1504,2020-09-05,130.7569488,sl,-0.0029999999999998916,16,0.9932317190108896,0.5
2021-01-09,138.0627,2021-01-10,137.64851190000002,sl,-0.0029999999999998916,1,0.5439769484726018,0.5
2021-02-16,141.3163,2021-02-17,140.8923511,sl,-0.0030000000000000027,1,0.9450164287688481,0.5
2021-04-02,144.1675,2021-04-03,143.7349975,sl,-0.0030000000000000027,1,0.999402183793321,0.5
2021-04-09,145.089,2021-04-24,144.653733,sl,-0.0030000000000001137,15,0.9997574203614132,0.5
