entry_date,entry_price,exit_date,exit_price,return_pct,bars_held
2020-03-02,105.4887,2020-03-23,107.9502,0.023334252863102867,21
2020-04-22,109.3651,2020-04-24,109.3216,-0.00039775028779742705,2
2020-04-27,109.9212,2020-04-29,109.6426,-0.00253454292711508,2
2020-04-30,109.7953,2020-05-01,109.6349,-0.0014609004210562881,1
2020-05-16,110.0885,2020-05-20,109.9587,-0.001179051399555875,4
2020-06-04,109.7271,2020-06-15,110.4478,0.00656811307325178,11
2020-07-25,107.7372,2020-07-26,107.7145,-0.0002106978833680273,1
2020-07-27,107.7259,2020-07-28,107.6474,-0.000728701268682741,1
2020-07-29,107.716,2020-07-30,107.4797,-0.002193731664748011,1
2020-07-31,107.5791,2020-08-01,107.4275,-0.0014091956523153426,1
2020-08-04,107.4527,2020-08-05,107.585,0.0012312394197633303,1
2020-08-06,107.4314,2020-08-07,107.5126,0.0007558311629560777,1
2020-08-08,107.371,2020-08-09,107.2933,-0.0007236590885806304,1
2020-08-10,107.257,2020-08-11,106.756,-0.004671023802642282,1
2020-08-28,105.0039,2020-08-29,105.003,-8.571110215904731e-06,1
2020-08-30,104.9119,2020-08-31,105.0053,0.0008902707891096373,1
2020-09-01,105.1003,2020-09-02,105.1745,0.0007059922759495851,1
2020-09-03,105.4461,2020-09-04,105.8273,0.003615117107223398,1
2020-09-05,105.8926,2020-09-06,106.1233,0.002178622491090021,1
2020-09-07,106.3904,2020-09-08,106.6243,0.002198506632177466,1
2020-09-09,106.9086,2020-09-10,106.9787,0.0006557002897802366,1
2020-09-11,107.2178,2020-09-12,107.6504,0.004034777807416345,1
2020-09-13,107.9007,2020-09-14,107.9365,0.00033178654077303804,1
2020-09-15,108.1579,2020-10-24,113.2362,0.04695264978332614,39
2020-11-08,115.3331,2020-11-16,116.1578,0.007150592501198538,8
2020-12-03,117.6256,2020-12-05,117.673,0.00040297350236673246,2
2020-12-06,118.003,2020-12-08,118.0328,0.0002525359524756521,2
2021-01-13,118.2464,2021-01-18,118.2382,-6.934672006919662e-05,5
2021-01-21,118.4961,2021-01-22,118.1659,-0.0027865896008392177,1
2021-02-05,118.6201,2021-02-28,120.6702,0.017282905679560256,23
2021-03-13,122.3584,2021-03-16,122.2583,-0.0008180885006668914,3
2021-03-18,122.6109,2021-03-19,122.418,-0.0015732695869616897,1
2021-03-22,122.9251,2021-04-10,125.451,0.02054828509393114,19
2021-04-18,127.1716,2021-04-25,127.7508,0.004554475999358321,7
2021-05-30,127.7402,2021-05-31,127.4457,-0.002305460614591137,1
2021-06-01,127.8346,2021-06-02,127.6605,-0.001361916100961702,1
2021-06-06,127.8464,2021-06-10,127.8363,-7.900105126157353e-05,4
2021-06-16,128.0846,2021-06-17,127.8664,-0.0017035615522864589,1
2021-06-23,128.1999,2021-06-24,127.8775,-0.0025148225544638914,1
2021-07-01,128.2857,2021-07-15,128.8524,0.004417483788138554,14
