date,ret_1,ret_5,hl_range,close_vs_ema20,close_vs_ema50,vol_chg_1,ema20,ema50,xtrend,xtrend_slope_1,rsi14,rsi_sma14,rsi_diff,atr21,atr_stop_21_4,dist_to_atr_stop,label
2015-02-20,-0.0014002089232594273,-0.005160262167811958,0.007428486692981808,-0.00529256734379742,-0.006488053790109864,0.5012480910450134,99.6565622566686,99.7750730995158,-0.11851084284720059,-0.028975642719586858,23.154346747130518,40.51444258056679,-17.36009583343627,1.0816488674304316,97.02730453027827,0.021230254536851706,0
2015-02-21,0.0008917412054041396,-0.0027769793138661125,0.0052156665521067595,-0.003978152357120647,-0.005372058859846864,-0.27992786034992134,99.61501347031921,99.75331729169166,-0.13830382137244612,-0.01979297852524553,28.922319572010707,38.33968107683107,-9.417361504820363,1.0547846356480302,97.13476145740788,0.021019272695125078,0
2015-02-22,0.0002428938432961214,-0.0011172014807449004,0.008255377633397938,-0.003378698942574541,-0.0049268245950502484,-0.21926635121434013,99.57971694933644,99.733359750841,-0.1536428015045601,-0.015338980132113988,30.454888331632247,36.46119817788835,-6.0063098462561015,1.0437282244266957,97.1789871022932,0.020811379762553785,0
2015-02-23,0.00022872827081421576,-0.0006594008412142971,0.015804833625642327,-0.002849321744490329,-0.004512825042028995,0.06849604341745552,99.5499439065425,99.7150750547296,-0.1651311481871005,-0.011488346682540396,31.9433940474551,35.350254867279176,-3.4068608198240753,1.0687364042159007,97.07895438313639,0.02204300938441445,0
2015-02-24,-0.00032135521235121534,-0.0003596220040312792,0.013901317274515424,-0.0028696298933805495,-0.004646097605812808,0.32036809336771577,99.5199682963956,99.69625642513236,-0.1762881287367577,-0.011156980549657192,30.9411581080915,33.74495946112722,-2.8038013530357233,1.0835346706818099,97.01976131727275,0.02232512941705416,0
2015-02-25,-0.0003516897230015914,0.0006899898014665062,0.01461689127956269,-0.0029155526418657264,-0.004803485005171936,0.11244090112618377,99.48952369673887,99.67680715355856,-0.18728345681968506,-0.010995328082927358,29.838146256366144,32.48237911425468,-2.6442328578885324,1.100985400649343,96.94995839740263,0.02268482658416732,0
2015-02-26,0.0008508038786172456,0.0006490607264844073,0.01871688185591536,-0.0018665179831517404,-0.003794445694438568,0.008077075848777815,99.47001667800183,99.66143040243863,-0.19141372443679927,-0.004130267617114214,35.798731784197116,31.836276992175964,3.962454792021152,1.1370480006184218,96.80570799752631,0.024968519847203937,0
2015-02-27,0.0007131008100946801,0.00111945862940388,0.00571080614560851,-0.0010428242796417032,-0.002958398193907288,-0.017711909922697666,99.45911032771595,99.64943313175476,-0.1903228040388143,0.0010909203979849735,40.37480706881353,31.880676881963428,8.494130186850104,1.1099219053508782,96.91421237859649,0.024571237841926392,0
2015-02-28,-0.0004015882361821932,0.0004885808087473631,0.00915264067276446,-0.0013073744452763742,-0.0032295191932770867,-0.5721881710062643,99.4454426774573,99.63634163639183,-0.19089895893453956,-0.0005761548957252671,38.70066502611896,31.558417215431955,7.142247810687007,1.1003541955722653,96.95248321771093,0.02379401405508368,0
2015-03-01,0.003547277567673257,0.004360347941053222,0.014075745550974812,0.0020194155878872056,0.00030421811557764623,0.14414770803774868,99.46662908912802,99.63757921927842,-0.17095013015040195,0.019948828784137618,56.035176528653636,32.91389469387107,23.121281834782565,1.1147611386402527,96.89485544543899,0.02782284521456769,0
2015-03-02,0.001099651944106439,0.005818530790733467,0.0033284057026884513,0.0028189136574437662,0.0013473347325953183,-0.04625273859431567,99.49623584254441,99.64306630871847,-0.14683046617406603,0.024119663976335914,59.83998104116911,34.88968506552381,24.950295975645304,1.0774915606097644,96.80493375756095,0.0297919495120549,0
2015-03-03,-0.0010984440379845362,0.003859607774410412,0.008821295522429962,0.0015583271051048582,0.00023939323528626702,0.8839499373432491,99.51258480992112,99.64404017896481,-0.13145536904369237,0.01537509713037366,54.738410675416574,36.77255283379371,17.965857841622864,1.0680491053426326,96.84270357862948,0.028346101617175847,0
